"","FileID","Organ","Age","Genotype","intage","NaiveCT","ActivatedCD4CT","X4TregCT","ThymicDerivedTregsCT","X4TregProlCT","NaiveDerivedTregsCT","hours","ActivatedProlCT","NaiveProlCT","ThymicNaive","ActivatedNaiveCT","X4TregRatio","NonProlActivatedRatio","NonProlActivatedCT","ActivatedProlRatio","EarlyActivatedCD4CT"
"1","JP090617D19KOS","Spleen",18,"KO",18,2123942.37761748,3669417.74681081,158041.780479337,3596.7078296165,1e+06,154445.072649721,432,1,0,2123942.37761748,3669416.74681081,0.0265553869499241,1,3669417.74681081,0,0.464670600671142
"2","JP091317D19KOS","Spleen",18,"KO",18,978631.991492665,1690728.35262516,201884.395773617,5330.2810765311,1e+06,196554.114697086,432,1,0,978631.991492665,1690727.35262516,0.0703125,1,1690728.35262516,0,0.2141025670541
"3","JA102517D12KOS","Spleen",12,"KO",12,460298.761284545,484194.439258279,78496.7539325135,553.5597809118,41599.6622222998,36343.5319293019,288,288585.053361064,105061.6977867,355237.063497846,195609.385897215,0.0767326732673267,0.403989327504179,195609.385897215,0.596010672495821,0.0456111161781299
"4","JA103117D14KOS","Spleen",14,"KO",14,609249.493941727,881694.695490673,160449.291909116,3805.7232426261,128359.433527293,28284.1351391972,336,256928.004209549,119347.106894675,489902.387047052,624766.691281125,0.0971599402092676,0.708597538894611,624766.691281125,0.291402461105389,0.14051274463803
"5","JA111417D18KOS","Spleen",18,"KO",18,3079733.87373214,5320685.83913454,1027553.52141681,24909.2701366977,818242.090766253,184402.16051386,432,1337207.41500592,768343.981872226,2311389.89185991,3983478.42412862,0.108989864086616,0.748677622502999,3983478.42412862,0.251322377497001,0.673776183429071
"6","GM030918D7KOST3","Spleen",7,"KO",7,202191.030106987,19509.660799797,9096.9256353981,126.1018060354,3173.8949363451,5796.9288930174,168,1289.85075735651,42645.6039981096,159545.426108877,18219.8100424405,0.0394151628239865,0.933886561606959,18219.8100424405,0.066113438393041,0.00102230622590936
"7","GM030918D7KOST5","Spleen",7,"KO",7,281400.238757488,27152.6546169506,5294.562986526,119.7477896791,1542.393699156,3632.4214976909,168,1,66593.5353793358,214806.703378153,27151.6546169506,0.0168698610717323,1,27152.6546169506,0,0.00142279910192821
"8","GM031318D19KOS","Spleen",18,"KO",18,2131917.05179819,3683195.15022443,361119.596244343,7527.4518141991,150884.460930796,202707.683499348,432,70942.7390022653,542375.355244622,1589541.69655357,3612252.41122216,0.0584692427420992,0.980738805274018,3612252.41122216,0.019261194725982,0.466415279190087
"9","GM032118D12KOS_2","Spleen",12,"KO",12,294069.092545624,309335.221695935,22785.3843144723,470.7215501099,15418.0544922362,6896.6082721261,288,1,146627.508559535,147441.583986088,309334.221695935,0.0363873509369676,1,309335.221695935,0,0.0291393778837571
"10","GM032118D14KOS_4","Spleen",14,"KO",14,134186.915105858,194192.84288221,24865.421026544,563.1065700493,14374.661900744,9927.6525557505,336,1,40099.7169073435,94087.1981985141,194191.84288221,0.0703913952793546,1,194192.84288221,0,0.0309478660606616
"11","GM032118D14KOS_6","Spleen",14,"KO",14,218982.636996656,316907.65665696,35653.9913116317,651.1679942767,25791.6596046069,9211.1637127479,336,96470.489327778,41625.6613180553,177356.975678601,220437.167329182,0.0623818525519849,0.695588013412363,220437.167329182,0.304411986587637,0.0505045168825642
"12","JA032218D14KOS_2","Spleen",14,"KO",14,3404909.06473208,4927521.96079711,446528.21736294,10457.0864947849,392905.833181801,43165.2976863542,336,725595.901290949,1693494.24535359,1711414.81937849,4201926.05950616,0.0508634571603087,0.852746287674876,4201926.05950616,0.147253712325124,0.785282749819033
"13","JA032218D14KOS_4","Spleen",14,"KO",14,1594599.22417303,2307674.75618352,332135.293473713,17249.6071771831,285724.753416074,29160.9328804553,336,1,867803.43999694,726795.784176092,2307673.75618352,0.0784372203996421,1,2307674.75618352,0,0.36776643364378
"14","GM032718D20KOS","Spleen",18,"KO",18,752083.463967796,1299332.99455235,94355.2450257827,2316.2828208925,67287.6797860632,24751.282418827,432,1,388568.661849223,363514.802118573,1299331.99455235,0.0439726392466909,1,1299332.99455235,0,0.164538868210146
"15","JA033018D12KOS","Spleen",12,"KO",12,2841584.69418621,2989101.04334577,430140.513193451,10141.8738118936,312652.923811041,107345.715570516,288,1485124.59303124,0,2841584.69418621,1503976.45031454,0.0687034739454094,0.503153432588916,1503976.45031454,0.496846567411084,0.281573318283172
"16","JA042618D7KOS_2","Spleen",7,"KO",7,258890.160593434,24980.6295309454,3163.6014443071,26.2357053767864,645.2081892994,2492.1575496309,168,1,57687.5834604902,201202.577132943,24979.6295309454,0.011021680806323,1,24980.6295309454,0,0.00130898498742154
